S1 S1.x S1.y S1.lon S1.lat S2 S2.x S2.y S2.lon S2.lat dist.h alpha label 
395 703351.360837 6173000.227782 3.040820 42.656600 1661 754144.470038 6232407.164276 3.665570 43.188800 78160.885652 40.530542 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 64 755959.359379 6133714.261120 3.677470 42.301300 65658.119735 126.751196 SE 
395 703351.360837 6173000.227782 3.040820 42.656600 550 756796.602093 6189152.861213 3.693500 42.799600 55832.798422 73.183728 E 
395 703351.360837 6173000.227782 3.040820 42.656600 341 757790.836902 6177683.793187 3.704390 42.696400 54640.574110 85.082807 E 
395 703351.360837 6173000.227782 3.040820 42.656600 154 758057.853574 6152368.556229 3.704890 42.468800 58467.651045 110.663159 E 
395 703351.360837 6173000.227782 3.040820 42.656600 2749 757203.645585 6249509.458013 3.705050 43.342400 93561.374953 35.140431 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 1599 759253.405429 6225625.792782 3.727600 43.127400 76775.573467 46.729251 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 185 760002.362116 6160863.145186 3.729450 42.545000 57936.557715 102.092419 E 
395 703351.360837 6173000.227782 3.040820 42.656600 1174 761668.971344 6208169.323465 3.755210 42.970200 68101.460971 58.907446 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 1267 762777.762744 6220244.484321 3.770230 43.078700 75917.830708 51.515143 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 677 764725.671911 6197001.083732 3.791270 42.869500 65900.281836 68.641667 E 
395 703351.360837 6173000.227782 3.040820 42.656600 2801 765721.900873 6254071.074046 3.810610 43.382700 102286.687200 37.572300 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 184 768438.121964 6161358.153974 3.832060 42.548700 66119.772810 100.141253 E 
395 703351.360837 6173000.227782 3.040820 42.656600 2074 768375.231193 6238824.357689 3.841330 43.245300 92525.238687 44.649586 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 316 769173.118810 6169108.180285 3.842000 42.618300 65936.726157 93.383965 E 
395 703351.360837 6173000.227782 3.040820 42.656600 156 769992.506456 6153743.189306 3.849960 42.480100 69367.685706 106.117506 E 
395 703351.360837 6173000.227782 3.040820 42.656600 3677 769860.744877 6266275.605202 3.863300 43.492100 114559.129702 35.490514 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 3106 772321.232353 6261389.885647 3.893020 43.447900 112114.115053 37.964683 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 2699 772805.107215 6249956.797906 3.897390 43.345000 103663.573984 42.066433 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 1593 774457.398981 6229408.478079 3.914820 43.160000 90763.204891 51.575116 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 116 777151.673712 6145123.945486 3.935650 42.401900 78889.627297 110.692845 E 
395 703351.360837 6173000.227782 3.040820 42.656600 68 777755.203596 6128796.768025 3.940610 42.255100 86544.079357 120.714625 SE 
395 703351.360837 6173000.227782 3.040820 42.656600 2362 777130.328091 6243904.206452 3.949800 43.290100 102326.488263 46.138372 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 317 779278.496027 6166587.459280 3.964620 42.594600 76197.463593 94.827716 E 
395 703351.360837 6173000.227782 3.040820 42.656600 1824 778988.380373 6236655.972863 3.971580 43.224700 98858.548472 49.916199 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 684 780437.605999 6202382.241798 3.984150 42.916300 82496.011665 69.135271 E 
395 703351.360837 6173000.227782 3.040820 42.656600 88 782125.616523 6139988.731410 3.995180 42.355200 85411.604900 112.736829 SE 
395 703351.360837 6173000.227782 3.040820 42.656600 1204 781146.122539 6218737.516159 3.995340 43.063300 90243.695050 59.547773 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 158 781995.070395 6153482.959058 3.995660 42.476500 81029.357837 103.937695 E 
395 703351.360837 6173000.227782 3.040820 42.656600 3619 781915.198379 6269953.503307 4.012830 43.523900 124788.678190 39.018777 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 337 783354.197517 6186582.285346 4.017340 42.773900 81147.557969 80.364780 E 
395 703351.360837 6173000.227782 3.040820 42.656600 2366 785697.466640 6249515.983699 4.056210 43.339600 112407.926964 47.101855 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 1477 787398.732466 6223444.983389 4.072810 43.104900 98023.640240 59.028057 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 319 788262.686578 6178939.392273 4.075970 42.704600 85118.781206 85.998935 E 
395 703351.360837 6173000.227782 3.040820 42.656600 565 788352.791740 6192932.557944 4.079400 42.830400 87307.164890 76.802923 E 
395 703351.360837 6173000.227782 3.040820 42.656600 181 789223.044183 6169720.067092 4.086130 42.621600 85934.308950 92.187543 E 
395 703351.360837 6173000.227782 3.040820 42.656600 1819 788957.896235 6238631.970189 4.094530 43.241300 107870.313405 52.523793 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 114 790926.198831 6148728.618485 4.103290 42.432700 90876.087435 105.490861 E 
395 703351.360837 6173000.227782 3.040820 42.656600 3008 789905.491318 6258600.432874 4.109640 43.420800 121733.366893 45.317479 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 180 793233.214451 6174860.032485 4.135840 42.667300 89901.092778 88.814624 E 
395 703351.360837 6173000.227782 3.040820 42.656600 1805 794246.693819 6233348.482141 4.158640 43.193100 109104.873228 56.418572 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 701 794927.655141 6211531.237361 4.163060 42.996800 99352.183557 67.180925 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 320 795887.402248 6181895.289600 4.169440 42.730200 92962.578949 84.509292 E 
395 703351.360837 6173000.227782 3.040820 42.656600 90 796563.420227 6139930.779374 4.170100 42.352900 98904.380256 109.533489 E 
395 703351.360837 6173000.227782 3.040820 42.656600 91 796935.372716 6146656.860000 4.175820 42.413300 97221.089818 105.721609 E 
395 703351.360837 6173000.227782 3.040820 42.656600 1473 797155.716537 6222751.004048 4.192430 43.097400 106180.962923 62.059977 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 3237 797832.685776 6259950.687819 4.207720 43.431900 128402.115492 47.376867 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 570 799371.321241 6202223.410149 4.215740 42.912500 100368.457115 73.072642 E 
395 703351.360837 6173000.227782 3.040820 42.656600 85 801200.246638 6131855.715713 4.224760 42.279700 106147.422606 112.806284 SE 
395 703351.360837 6173000.227782 3.040820 42.656600 2386 800930.865320 6245490.987749 4.243150 43.301400 121559.326979 53.391742 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 1812 802600.139928 6236667.515085 4.261970 43.221800 117914.560693 57.320157 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 1469 803615.422148 6226143.151225 4.272370 43.127000 113477.100344 62.075085 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 322 806405.112585 6188466.416187 4.299010 42.787800 104207.863106 81.464816 E 
395 703351.360837 6173000.227782 3.040820 42.656600 1110 806015.769042 6215651.848345 4.299720 43.032300 111171.675569 67.439705 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 83 808824.498867 6142516.389866 4.319170 42.374400 109790.014208 106.120347 E 
395 703351.360837 6173000.227782 3.040820 42.656600 162 810496.454886 6167933.926337 4.344680 42.602600 107264.805919 92.707185 E 
395 703351.360837 6173000.227782 3.040820 42.656600 323 811701.641383 6183917.439346 4.362700 42.746100 108898.892568 84.246382 E 
395 703351.360837 6173000.227782 3.040820 42.656600 633 811562.034532 6207860.947581 4.366050 42.961400 113687.376988 72.143342 E 
395 703351.360837 6173000.227782 3.040820 42.656600 3729 811860.456764 6262515.175031 4.381410 43.452900 140666.803759 50.478958 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 82 814324.874173 6136813.115506 4.384620 42.322300 116724.580774 108.060517 E 
395 703351.360837 6173000.227782 3.040820 42.656600 111 814068.778004 6158550.415328 4.386140 42.517700 111656.363652 97.435687 E 
395 703351.360837 6173000.227782 3.040820 42.656600 330 814034.117019 6192889.776911 4.393080 42.826400 112455.620938 79.812748 E 
395 703351.360837 6173000.227782 3.040820 42.656600 3155 813360.105844 6257916.941795 4.398920 43.411300 138970.400793 52.335135 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 1116 814832.843831 6217104.117579 4.408110 43.044000 119888.590557 68.415442 E 
395 703351.360837 6173000.227782 3.040820 42.656600 163 817350.002688 6165451.017005 4.427520 42.579200 114248.330084 93.788706 E 
395 703351.360837 6173000.227782 3.040820 42.656600 324 817123.199270 6180309.143700 4.428030 42.712800 114006.365928 86.324263 E 
395 703351.360837 6173000.227782 3.040820 42.656600 2219 817910.914108 6240688.619791 4.451160 43.255600 133062.427673 59.422956 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 1501 819353.480223 6229574.009352 4.466370 43.155400 129062.327823 64.001689 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 81 821200.999836 6140409.254895 4.468690 42.353500 122273.091585 105.458627 E 
395 703351.360837 6173000.227782 3.040820 42.656600 329 820481.187038 6186110.503658 4.470280 42.764400 117861.255379 83.613497 E 
395 703351.360837 6173000.227782 3.040820 42.656600 2459 821019.035460 6253143.278792 4.492300 43.367100 142367.799295 55.741356 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 110 823260.749905 6160965.725258 4.498370 42.537900 120511.787132 95.731202 E 
395 703351.360837 6173000.227782 3.040820 42.656600 586 824283.132807 6202855.283499 4.520600 42.914300 124562.505689 76.132386 E 
395 703351.360837 6173000.227782 3.040820 42.656600 3750 823234.967217 6262913.298970 4.521940 43.454600 149854.727816 53.129990 NE 
395 703351.360837 6173000.227782 3.040820 42.656600 328 829007.945638 6184717.601207 4.573970 42.750400 126201.720051 84.672621 E 
